id,title,type,release_year,runtime,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts28516,Okupas,SHOW,2000-01-01,40,"['drama', 'crime']",['AR'],9.0,2630.0,7.29,8.635
tm188606,Sankofa,MOVIE,1993-01-01,124,"['drama', 'european']","['ET', 'DE', 'GH', 'GB', 'US', 'BF']",7.0,743.0,3.14,6.0
tm113234,A Chinese Odyssey Part One: Pandora's Box,MOVIE,1995-01-01,88,"['action', 'comedy', 'fantasy', 'drama', 'romance']",['HK'],7.5,7724.0,11.512,7.3
ts20918,The Parkers,SHOW,1999-01-01,19,['comedy'],['US'],6.9,2486.0,15.417,7.9
ts20939,Moesha,SHOW,1996-01-01,21,"['drama', 'family', 'comedy']",['US'],5.8,3899.0,16.214,6.9
ts21693,"Sister, Sister",SHOW,1994-01-01,22,"['comedy', 'drama', 'family']",['US'],6.3,13054.0,32.225,7.456
tm34391,Before the Flying Circus,MOVIE,2000-01-01,55,"['comedy', 'documentation']",['GB'],7.3,186.0,2.078,8.5
tm189773,Maya Memsaab,MOVIE,1993-01-01,126,"['drama', 'romance']",['IN'],5.4,2260.0,3.476,5.806
tm55100,Dil Se..,MOVIE,1998-01-01,163,"['drama', 'romance']",['IN'],7.5,29580.0,7.346,6.817
tm41525,Herod's Law,MOVIE,2000-01-01,123,"['comedy', 'crime', 'drama']",['MX'],7.8,6414.0,12.915,7.983
tm113275,A Chinese Odyssey Part Two: Cinderella,MOVIE,1995-01-01,99,"['action', 'fantasy', 'comedy', 'romance']","['CN', 'HK']",7.8,7900.0,11.979,7.5
tm37642,Blue Streak,MOVIE,1999-01-01,93,"['comedy', 'crime', 'thriller', 'action']","['DE', 'US']",6.3,85125.0,39.153,6.5
tm184502,Kabhi Haan Kabhi Naa,MOVIE,1994-01-01,158,"['romance', 'drama', 'comedy', 'music']",['IN'],7.7,18728.0,8.073,6.523
tm12876,Bombay,MOVIE,1995-01-01,141,"['drama', 'romance']",['IN'],8.1,13031.0,5.67,7.2
tm27601,Phir Bhi Dil Hai Hindustani,MOVIE,2000-01-01,160,"['comedy', 'drama', 'romance']",['IN'],6.1,7954.0,5.662,6.5
tm105716,Chaahat,MOVIE,1996-01-01,148,"['drama', 'romance']",['IN'],5.5,3014.0,4.134,6.722
tm29212,Nutty Professor II: The Klumps,MOVIE,2000-01-01,106,"['romance', 'scifi', 'comedy']",['US'],4.4,51851.0,19.541,5.0
tm117873,Hum Aapke Hain Koun..!,MOVIE,1994-01-01,206,"['drama', 'comedy', 'romance']",['IN'],7.5,21674.0,7.762,6.415
tm189171,Wild Tango,MOVIE,1993-01-01,124,"['drama', 'music', 'romance']","['ES', 'AR']",6.7,1652.0,4.917,6.2
tm67635,Kuch Kuch Hota Hai,MOVIE,1998-01-01,177,"['drama', 'romance', 'comedy']",['IN'],7.5,54032.0,15.8,7.6
tm118256,Yaar Gaddar,MOVIE,1994-01-01,147,"['crime', 'action', 'drama']",['IN'],3.7,168.0,2.383,6.0
ts8570,Barney & Friends,SHOW,1992-01-01,29,"['comedy', 'family']",['US'],3.9,7883.0,31.939,4.851
tm44776,The Other,MOVIE,1999-01-01,106,"['drama', 'romance', 'european']","['EG', 'FR']",5.9,1030.0,0.84,5.955
tm128925,Chamatkar,MOVIE,1992-01-01,163,"['comedy', 'drama', 'fantasy', 'crime']",['IN'],6.5,6508.0,7.592,6.579
tm62176,Mann,MOVIE,1999-01-01,174,"['drama', 'romance']",['IN'],6.1,5633.0,4.443,6.6
